device_id,timestamp,cpu_utilization,memory_utilization,error_count,uptime_flag
DEV-001,2025-01-01 00:00:00,31.93,60.61,0,1
DEV-001,2025-01-01 01:00:00,45.39,62.85,0,1
DEV-001,2025-01-01 02:00:00,34.59,56.39,0,1
DEV-001,2025-01-01 03:00:00,38.7,49.45,0,1
DEV-001,2025-01-01 04:00:00,41.57,51.39,0,1
DEV-001,2025-01-01 05:00:00,32.95,51.95,0,1
DEV-001,2025-01-01 06:00:00,34.34,62.0,0,1
DEV-001,2025-01-01 07:00:00,34.77,59.57,0,1
DEV-001,2025-01-01 08:00:00,34.49,63.75,0,1
DEV-001,2025-01-01 09:00:00,34.48,68.28,0,1
DEV-001,2025-01-01 10:00:00,34.82,58.99,1,1
DEV-001,2025-01-01 11:00:00,31.17,64.47,0,1
DEV-001,2025-01-01 12:00:00,30.85,60.0,1,1
DEV-001,2025-01-01 13:00:00,41.18,59.87,0,1
DEV-001,2025-01-01 14:00:00,32.45,51.1,0,1
DEV-001,2025-01-01 15:00:00,35.19,64.3,0,1
DEV-001,2025-01-01 16:00:00,31.84,59.69,0,1
DEV-001,2025-01-01 17:00:00,34.11,62.07,0,1
DEV-001,2025-01-01 18:00:00,40.4,63.45,0,1
DEV-001,2025-01-01 19:00:00,33.29,57.47,0,1
DEV-001,2025-01-01 20:00:00,29.95,64.51,0,1
DEV-001,2025-01-01 21:00:00,31.96,53.03,0,1
DEV-001,2025-01-01 22:00:00,41.66,60.5,0,1
DEV-001,2025-01-01 23:00:00,39.3,55.79,0,1
DEV-001,2025-01-02 00:00:00,44.97,60.71,0,1
DEV-001,2025-01-02 01:00:00,24.39,63.12,0,1
DEV-001,2025-01-02 02:00:00,30.4,64.23,0,1
DEV-001,2025-01-02 03:00:00,36.39,60.8,0,1
DEV-001,2025-01-02 04:00:00,33.54,62.73,0,1
DEV-001,2025-01-02 05:00:00,33.45,56.51,1,1
DEV-001,2025-01-02 06:00:00,42.07,60.66,0,1
DEV-001,2025-01-02 07:00:00,44.35,59.89,0,1
DEV-001,2025-01-02 08:00:00,33.98,57.38,0,1
DEV-001,2025-01-02 09:00:00,43.86,57.55,0,1
DEV-001,2025-01-02 10:00:00,37.52,57.84,0,1
DEV-001,2025-01-02 11:00:00,35.51,57.57,0,1
DEV-001,2025-01-02 12:00:00,36.68,61.03,0,1
DEV-001,2025-01-02 13:00:00,32.78,66.03,2,1
DEV-001,2025-01-02 14:00:00,27.9,58.88,0,1
DEV-001,2025-01-02 15:00:00,38.0,56.85,0,1
DEV-001,2025-01-02 16:00:00,36.53,60.52,0,1
DEV-001,2025-01-02 17:00:00,39.19,58.98,0,1
DEV-001,2025-01-02 18:00:00,43.2,62.77,0,1
DEV-001,2025-01-02 19:00:00,33.48,65.93,0,1
DEV-001,2025-01-02 20:00:00,40.43,69.97,0,1
DEV-001,2025-01-02 21:00:00,35.02,63.63,0,1
DEV-001,2025-01-02 22:00:00,37.99,56.5,0,1
DEV-001,2025-01-02 23:00:00,37.54,57.19,0,1
DEV-001,2025-01-03 00:00:00,32.18,61.38,0,1
DEV-001,2025-01-03 01:00:00,40.59,58.21,0,1
DEV-001,2025-01-03 02:00:00,33.57,57.4,1,1
DEV-001,2025-01-03 03:00:00,41.56,52.86,0,1
DEV-001,2025-01-03 04:00:00,44.31,71.71,0,1
DEV-001,2025-01-03 05:00:00,38.79,62.92,0,1
DEV-001,2025-01-03 06:00:00,43.99,54.68,0,1
DEV-001,2025-01-03 07:00:00,38.74,60.75,0,1
DEV-001,2025-01-03 08:00:00,38.62,63.25,0,1
DEV-001,2025-01-03 09:00:00,38.96,55.44,0,1
